ID_Name,B,G
1078887_Sr2MnNbO6,175.37599999999998,103.305
972935_ScZnNi2,116.329,28.3492
24237_ScH2,100.525,53.6514
4236_BaZnO2,68.4202,34.0032
12927_Ba(BeN)2,99.1106,61.8287
1111890_Na3IrF6,56.856,23.0321
1113376_Rb2AgAsCl6,25.5107,9.723410000000001
1113467_Rb2PdAuF6,59.9429,18.2973
1112482_Cs2YTlF6,32.5316,13.7484
1114416_Rb2LiBiF6,46.6898,15.7266
864807_HfZnNi2,144.918,22.5923
1112652_Cs3LaCl6,12.613,6.21199
961649_ZrFeTe,136.494,73.6878
7770_Sr(ZnAs)2,50.0287,30.2293
567841_Be3P2,91.8546,71.3656
3839_GaCuTe2,42.2646,24.1958
1112441_K2YAgF6,41.3434,11.8757
23859_CaHCl,23.7302,16.2747
31455_RuSbV,163.47899999999998,45.933
1080041_Cs2NaBiCl6,16.8947,8.49424
571310_ZrInPt2,165.66400000000002,28.6174
567744_SrBr2,20.3462,7.93958
1111291_Li3AlF6,69.3404,38.8459
1111909_K2RbRhF6,34.3119,20.9992
961657_YNiP,94.6927,35.9421
983123_HfMgAu2,130.595,25.9796
1111192_Na2AgAsBr6,25.2966,7.8316300000000005
7100_LaOF,108.801,49.63
487_MnP4,101.941,115.208
31186_AlFe2Ni,213.024,106.59200000000001
1079896_Ca2H6Ru,62.6974,42.3373
567636_VFeSb,165.64700000000002,56.181000000000004
15684_K2CuAs,15.5197,9.39989
981247_Zn7Sb8Ru9,125.295,67.0239
23710_MgH2,51.4067,34.9264
1113611_K3YI6,9.53802,4.29932
27716_KTlO,19.0238,11.3583
1112210_K2AlHgCl6,23.533,4.94221
961673_TiFeTe,152.908,72.6883
865517_YZnRh2,123.66,15.1978
6929_Ca2As2O7,89.6203,36.5741
1114370_Rb2TlBiF6,41.2797,14.9894
961712_PtTaTl,156.072,51.5356
1111026_KNa2ScF6,47.2383,21.1834
8377_TeO2,23.4466,24.3056
5061_Li5ReO6,86.3227,63.8131
1114649_Rb2InGaBr6,16.984,7.47952
1413_P2Ru,185.767,139.108
867275_BeVOs2,286.793,105.875
1112493_Cs2ScTlBr6,16.9201,5.61296
1111487_Na3YCl6,21.0971,9.68432
1111586_Na2AlAgBr6,26.3477,7.44355
867171_SrLi2Sn,30.7424,20.7167
4583_NbCo2Sn,187.653,27.1636
989625_SrWN3,111.03299999999999,57.5069
1113322_Na3AsCl6,23.39,9.974219999999999
3340_TaAlCo2,201.233,58.4601
571166_CaBr2,25.1589,10.4908
2052_ScAs,82.69200000000001,30.7443
15556_Rb2As3,13.28,6.53512
978523_Sc2ZnCu,90.0032,37.185
29208_Ca(MgBi)2,36.5668,22.2205
408_Mg2Ge,50.8624,41.9597
1112579_Cs2LiAuF6,39.7353,12.6562
865049_HfMgPd2,132.874,43.0886
1009733_Ca2Si,35.9661,25.4662
1111151_K3YCl6,16.9074,8.16112
28626_LaSO,86.8391,41.358000000000004
568968_K2SnHgSe4,19.0726,9.39356
3098_AlCuO2,148.171,82.4051
1113451_Cs2ScAgBr6,23.6313,4.70787
1113444_Cs2TlAgBr6,23.0273,9.161019999999999
1112476_K2AgBiCl6,24.3875,7.5060899999999995
625136_CsHO,22.8866,8.19718
573204_Cs2KBiF6,30.3276,15.0778
12491_CsLaCdTe3,16.2434,7.87528
1114665_Rb3ScCl6,16.969,8.20192
9244_LiBC,151.532,129.15
16577_Li2CaHfF8,83.3915,36.3236
7219_Na2ZrSe3,35.4043,22.3105
37216_CdPbF6,26.545,19.0025
7618_Cs3YF6,17.9945,22.8134
7889_Sr2YReO6,147.81,59.8467
972396_Ti2MnRe,198.55900000000003,70.7283
27138_K2PdBr4,12.8241,5.221509999999999
1112200_K2InHgCl6,25.7447,5.1443
757_Li3As,35.9939,29.9429
1113583_Cs2GaAgF6,43.5642,14.7576
22483_NaInTe2,20.3858,17.0944
1112622_Cs2ScAgCl6,26.0939,5.3426
865030_HfScRu2,178.852,90.6336
6654_Cs2LiGaF6,31.8885,12.894
22896_LaCl3,36.6414,16.8066
6920_KNO3,15.8411,9.34762
7331_Cs2MgFe(CN)6,43.9845,18.1832
1132_CdO,127.477,38.3663
1114066_Na2AlHgBr6,22.3464,4.18124
1112010_K2CuAuF6,46.4864,22.3082
22937_Na4I2O,21.8069,11.7704
1112192_K2YHgF6,33.8177,11.2389
1525_CeTe,56.935,33.8673
1111124_K2RbSbF6,30.8521,15.1423
1534_YS,93.441,10.4312
