Name,B,G
345_HfB,178.40099999999998,37.4695
1114662_Rb2NaScBr6,18.0553,6.9744600000000005
864761_Ta2MnOs,265.031,94.4411
977390_Ta3Ru,222.202,74.596
1112170_KInCl3,17.7907,7.194889999999999
600536_NaMoF6,28.2789,16.3389
977383_ZnPd2Au,140.785,36.7189
1112409_Rb2HgBiF6,30.8632,11.2776
1114130_Na2TlCuF6,41.2011,21.093000000000004
1113022_Cs2LiBiF6,37.1808,13.74
1112090_K2AgSbI6,18.2265,6.22564
1112418_K2SbAuBr6,26.0817,4.37236
1114595_Rb2NaSbBr6,14.3748,7.331869999999999
1112652_Cs3LaCl6,12.613,6.21199
3909_ZrAlCo2,184.045,70.3724
1112789_Cs2KBiBr6,14.134,6.24739
1113867_Rb2AlAgCl6,27.2426,10.2686
16524_ScAlPd2,135.387,38.9152
573697_CsCl,11.9989,7.13076
867273_Be2CuIr,141.594,76.6003
1112013_Cs2NaRuF6,39.4958,24.0634
867327_Hf2TcRu,197.342,70.9215
1113016_Cs2LiInF6,42.5761,15.7255
865506_VSiOs2,305.881,104.684
1111174_K3MoCl6,19.839000000000002,5.64992
971763_ZnSb3,65.1894,47.8413
568662_BaCl2,29.0997,11.7298
20363_LiGa2Pt,114.166,62.1616
30765_LiPt7,212.99400000000003,104.616
1114527_Rb2YInBr6,14.4931,5.85361
1112487_Cs2TlRhF6,34.6623,18.81
977115_NaSrHg2,21.1204,9.26649
974458_Re3F,284.002,50.7795
1113903_Na2LiScCl6,26.3921,10.5626
865652_TiMn2Si,224.18,108.50299999999999
1078758_Sr2NiRuO6,127.072,43.1099
1111297_K3YF6,35.1694,18.1494
1114157_Na2CuBiF6,56.8453,6.705889999999999
1114339_Na2LiPdF6,54.5012,4.4551099999999995
864764_Ta2FeOs,268.461,56.3109
1113387_Rb2ScHgCl6,21.7151,4.772819999999999
973141_ScCdCu2,71.7291,51.8986
1009533_PdC,221.34900000000002,29.4465
989550_Rb2TlInCl6,18.5504,6.95984
1113798_Rb2AgBiF6,44.446000000000005,12.3147
19403_Ba2CaMoO6,83.7492,63.3521
1113481_Cs2InCuBr6,16.0055,13.0692
861978_Hf2ReIr,215.896,104.807
866087_MgSiRh2,183.21599999999998,57.4836
13175_PtN,248.173,43.5764
1112131_Cs2RbAsI6,10.2071,4.37514
2612_GeTe,51.6743,31.7501
1114599_Rb2NaTaI6,14.7155,6.27565
1114510_KRb2AsI6,11.0537,4.573919999999999
867768_ScZnPt2,153.61700000000002,55.7932
999208_Sc2MnSi,118.212,38.0166
12305_Sc11Os4,105.461,29.0712
631420_CaRe2Si,166.957,55.9109
1112270_CsK2SbF6,31.3673,12.5326
977434_Nb3Ru,212.136,70.0943
867233_Sc2ZnIr,120.124,57.0965
559712_Rb2NaCoF6,66.1308,28.351
864908_MgTiIr2,203.297,99.9935
542830_Mn23C6,316.885,127.45700000000001
865728_Ti2ReNi,192.054,87.7858
1112687_Cs2KYI6,10.7775,4.69672
16341_Li2HgGe,41.6468,26.6741
574653_Cs2LiIr(CN)6,26.346999999999998,6.78172
1112007_Cs2RbAsCl6,16.9188,7.480860000000001
1111002_Rb2ScHgF6,26.1314,7.5377600000000005
1114062_Na2AlHgF6,48.7548,11.8153
1114374_Rb3GaF6,39.4192,8.331430000000001
1112309_CsK2ScCl6,16.0861,7.72784
1112589_Cs2HgPdF6,47.4193,16.5832
20521_ScInPt2,143.937,36.0425
1113699_Rb2TlAgI6,16.3281,5.01967
640345_Cs2MnFe(CN)6,47.7221,35.5237
865376_YMg3,39.6833,31.9046
1018074_GaFeNi2,196.981,40.9754
981247_Zn7Sb8Ru9,125.295,67.0239
1111240_K2NaAsBr6,16.5004,8.41107
1113040_Cs2KMoI6,12.4482,4.7043099999999995
1113617_Rb2TaAgCl6,28.2614,3.99188
865655_TiNbTc2,228.303,97.7512
1113622_Cs2AgIrF6,44.6595,16.203
865805_TaZnCo2,201.833,44.6045
1113006_Cs2LiSbF6,35.165,15.1129
10898_ScAlNi2,154.928,37.1046
6059_Cs2KYF6,30.3353,17.2314
1062345_Li2N,64.6293,49.4623
861507_ScAlIr2,205.31799999999998,108.04899999999999
981377_V2ReTc,273.561,133.616
